,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
36,1.34218701829569e+21,5.609370716876045e+20,1.194e+21,4.955e+18,1.04e+20,5.2507750213061675e-11
37,1.3750222403353882e+21,8.312479400028256e+20,1.194e+21,4.955e+18,1.04e+20,1.659875243789922e-14
38,4.836144191713726e+20,3.009358461490362e+20,1.194e+21,4.955e+18,1.04e+20,4.556700333336092e-12
39,1.0337036583286621e+21,6.186466088571394e+20,1.194e+21,4.955e+18,1.04e+20,4.6239879125167964e-14
40,3.730042335049043e+20,2.4563788577099927e+20,1.194e+21,4.955e+18,1.04e+20,2.6949620257092354e-10
41,1.211736837193666e+21,8.926145648769348e+20,1.194e+21,4.955e+18,1.04e+20,5.543748371179552e-15
42,8.75556804148334e+20,3.302765132621482e+20,1.194e+21,4.955e+18,1.04e+20,1.2034635986182079e-11
43,1.9704965887633513e+20,3.6699001766316323e+19,1.194e+21,4.955e+18,1.04e+20,1.3496887669599938e-10
44,4.432465504423918e+20,8.146217576495615e+19,1.194e+21,4.955e+18,1.04e+20,8.585928661195431e-10
45,9.665108559262731e+20,3.992439336887983e+20,1.194e+21,4.955e+18,1.04e+20,1.8452424832999148e-11
46,3.509147021962243e+20,2.7473077764821608e+20,1.194e+21,4.955e+18,1.04e+20,3.241409563336417e-14
47,5.682012971892623e+20,9.878113138465282e+19,1.194e+21,4.955e+18,1.04e+20,1.5953148845264783e-12
48,7.701819212756808e+20,3.164845822325269e+20,1.194e+21,4.955e+18,1.04e+20,1.646309614021009e-13
49,1.3261249323157013e+21,1.2484386488953193e+21,1.194e+21,4.955e+18,1.04e+20,2.61874696249759e-10
