H2,H2O,O2,H2_melt,H2O_melt,O2_melt,H2_mass_atm,H2O_mass_atm,O2_mass_atm,H2_mass_melt,H2O_mass_melt,O2_mass_melt,H2_mass_tot,H2O_mass_tot,O2_mass_tot,H2_fugacity,H2O_fugacity,O2_fugacity,H2_fugacity_input,Total_Pressure
2171.5152820340018,913.4920313978339,2.5829104101360227e-13,823.4074908735874,30515.97941730748,0.0,1.818650957134765e+22,6.8370271879594175e+22,34337172.38430279,2.990204303107433e+22,1.1081877925395212e+24,0.0,4.808855260242198e+22,1.1765580644191153e+24,34337172.38430279,2899.9999992505195,999.9999997825809,4.310018253017338e-13,2900,3085.007313431836
2233.040545411981,910.3091882722352,2.38873417905542e-13,838.1694953023359,30515.979418634743,0.0,1.8994666972846852e+22,6.9199041592373555e+22,32253111.601998795,3.043812522190433e+22,1.1081877925877208e+24,0.0,4.943279219475118e+22,1.1773868341800943e+24,32253111.601998795,2999.9999995466637,999.9999998695688,4.0274726127210547e-13,3000,3143.3497336842165
2293.9073530525857,907.1357513332038,2.214337431211845e-13,852.6991388917569,30515.97941944328,0.0,1.9808440056377495e+22,7.000398508602635e+22,30351972.78625427,3.096576922885415e+22,1.1081877926170826e+24,0.0,5.0774209285231645e+22,1.178191777703109e+24,30351972.78625427,3099.9999997311784,999.9999999225599,3.771826588808676e-13,3100,3201.0431043857893
2354.1311460394913,903.972742091116,2.0571911762591688e-13,867.0074033432875,30515.979419840307,0.0,2.062747645470437e+22,7.07859166226913e+22,28612698.615987707,3.1485373852411484e+22,1.1081877926315008e+24,0.0,5.211285030711586e+22,1.1789737092541922e+24,28612698.615987707,3199.999999824531,999.9999999485809,3.53977085160295e-13,3200,3258.103888130607
2413.7267940124157,900.8210912316451,1.9151529670387942e-13,881.1044265956044,30515.9794199497,0.0,2.145144234349011e+22,7.1545613340180535e+22,27017214.779414337,3.1997307251819375e+22,1.1081877926354734e+24,0.0,5.344874959530948e+22,1.179733405975654e+24,27017214.779414337,3299.9999998530416,999.9999999557504,3.328489763182495e-13,3300,3314.547885244061
2472.7086242912455,897.6816454553237,1.786398598023255e-13,894.9995911087293,30515.979419896732,0.0,2.2280021236986134e+22,7.22838174653303e+22,25549931.893214807,3.2501910151113508e+22,1.1081877926335498e+24,0.0,5.478193138809964e+22,1.1804716100988802e+24,25549931.893214807,3399.9999998449625,999.9999999522788,3.135575564101421e-13,3400,3370.390269746569
2531.0904491183974,894.5551738177346,1.6693674230199237e-13,908.7016005994019,30515.97941978975,0.0,2.311291288208856e+22,7.300123836217874e+22,24197342.52351726,3.299949862576728e+22,1.1081877926296647e+24,0.0,5.611241150785583e+22,1.1811890309918434e+24,24197342.52351726,3499.9999998256135,999.9999999452674,2.95895947108418e-13,3500,3425.645622936132
2588.8855911653195,891.4423736027845,1.5627182826185073e-13,922.2185470240174,30515.979419709365,0.0,2.3949832241017174e+22,7.369855442971675e+22,22947692.99723112,3.3490366535177196e+22,1.1081877926267455e+24,0.0,5.7440198776194375e+22,1.1818863470564622e+24,22947692.99723112,3599.9999998141416,999.999999939999,2.7968559815355857e-13,3600,3480.327964768104
2646.106907434939,888.3438757600583,1.4652937585954628e-13,935.5579692837363,30515.97941970229,0.0,2.4790508553989016e+22,7.437641486240802e+22,21790714.46473904,3.3974787654538884e+22,1.1081877926264887e+24,0.0,5.87652962085279e+22,1.1825642074888967e+24,21790714.46473904,3699.9999998214835,999.9999999395351,2.6477175690969294e-13,3700,3534.4507831949973
2702.7668116810883,885.2602499364618,1.3760910095682933e-13,948.7269048699367,30515.979419782223,0.0,2.563468447424133e+22,7.503544128536733e+22,20717401.229554173,3.445301755035175e+22,1.1081877926293915e+24,0.0,6.008770202459309e+22,1.1832232339147588e+24,20717401.229554173,3799.99999985033,999.9999999447739,2.5101976122922257e-13,3800,3588.0270616175503
