H2,H2O,O2,H2_melt,H2O_melt,O2_melt,H2_mass_atm,H2O_mass_atm,O2_mass_atm,H2_mass_melt,H2O_mass_melt,O2_mass_melt,H2_mass_tot,H2O_mass_tot,O2_mass_tot,H2_fugacity,Total_Pressure
3399.999999999998,1000.0,3.135575564337332e-13,894.9995911301199,30515.979420624848,0.0,3.4023445236876526e+22,8.94283977217962e+22,49806424.23090091,3.2501910151890305e+22,1.1081877926599914e+24,0.0,6.652535538876683e+22,1.1976161903817876e+24,49806424.23090091,3400,4399.999999999998
3500.0000000000005,1000.0,2.9589594713256807e-13,908.7016006231327,30515.979420624863,0.0,3.5532117707344746e+22,9.072544895493422e+22,47682694.08215791,3.299949862662906e+22,1.1081877926599918e+24,0.0,6.853161633397381e+22,1.198913241614926e+24,47682694.08215791,3500,4500.0
3600.0,1000.0,2.796855981770025e-13,922.2185470489726,30515.97942062487,0.0,3.7061482283024282e+22,9.20018080828609e+22,45704515.430900335,3.349036653608344e+22,1.108187792659992e+24,0.0,7.055184881910772e+22,1.2001896007428529e+24,45704515.430900335,3600,4600.0
3700.0,1000.0,2.6477175693016506e-13,935.5579693073944,30515.97942062485,0.0,3.8611047724691914e+22,9.325796634479945e+22,43858143.116406396,3.397478765539803e+22,1.1081877926599915e+24,0.0,7.258583538008994e+22,1.201445759004791e+24,43858143.116406396,3700,4700.0
3799.9999999999995,1000.0,2.5101976124473407e-13,948.7269048895225,30515.979420624863,0.0,4.01803382206715e+22,9.449439955242609e+22,42131471.17297341,3.445301755106301e+22,1.1081877926599918e+24,0.0,7.463335577173451e+22,1.2026821922124178e+24,42131471.17297341,3800,4800.0
3899.999999999999,1000.0,2.3831198897922215e-13,961.7319354749131,30515.979420624844,0.0,4.176889278591723e+22,9.571156869078654e+22,40513798.90488053,3.492529523677147e+22,1.1081877926599912e+24,0.0,7.66941880226887e+22,1.2038993613507777e+24,40513798.90488053,3900,4899.999999999999
4000.000000000005,1000.000000000001,2.2654533452337142e-13,974.5792273248938,30515.979420624866,0.0,4.337626468896752e+22,9.690992049134267e+22,38995635.515520826,3.539184464030352e+22,1.1081877926599919e+24,0.0,7.876810932927103e+22,1.2050977131513346e+24,38995635.515520826,4000,5000.000000000006
4100.000000000008,1000.000000000002,2.1562911078964667e-13,987.274567180689,30515.979420624903,0.0,4.500202090527218e+22,9.808988797864427e+22,37568536.13163536,3.5852875907166724e+22,1.1081877926599934e+24,0.0,8.08548968124389e+22,1.2062776806386377e+24,37568536.13163536,4100,5100.00000000001
4199.999999999999,1000.0,2.0548329661983953e-13,999.8233942635709,30515.979420624866,0.0,4.664574159548888e+22,9.92518909920335e+22,36224963.53439283,3.6308586562681578e+22,1.1081877926599919e+24,0.0,8.295432815817045e+22,1.2074396836520255e+24,36224963.53439283,4200,5199.999999999999
4300.000000000015,1000.0000000000031,1.9603706611000432e-13,1012.2308288826413,30515.9794206249,0.0,4.830701960742769e+22,1.0039633668370137e+23,34958171.05013988,3.6759162550873116e+22,1.1081877926599933e+24,0.0,8.506618215830082e+22,1.2085841293436946e+24,34958171.05013988,4300,5300.000000000017
