,H2O,H2,O2,CO,CO2,CH4,N2,S2,H2S,SO2,SO,fO2_shift,C/H ratio,Number of ocean moles
2287,1.674456415,126.6893612,6.22772E-16,49.84518486,0.255198082,256.7427664,0.000101381,1.5923E-08,0.058884281,4.77433E-11,6.70184E-10,-3.619666395,0.9049193,9.187356415
2288,0.735571949,0.444119347,9.77942E-12,21.21112304,13.60848014,1.07144E-05,1.121002574,0.000250264,0.025878918,9.39902E-05,1.05287E-05,0.590914847,0.196915093,2.116207525
2289,0.288258654,7.578056782,5.15835E-15,24.71661699,0.364195035,0.158273663,0.002403494,1.32018E-07,0.010141948,1.13867E-09,5.55379E-09,-2.686739373,0.209063374,2.001893446
2290,15.23853402,1.767510071,2.64987E-10,38.12221463,127.3150978,5.85934E-05,1.361470963,0.006757626,0.535187836,0.013234037,0.000284791,2.018428658,0.205921499,9.219878879
2291,8.939886178,0.645236435,6.84366E-10,100.5519693,539.6649106,1.28157E-05,1.470942249,0.017473771,0.314166207,0.054960695,0.000735961,2.413357955,0.985762793,6.992261858
2292,8.472720941,1.896189737,7.11777E-11,84.36144618,146.0177397,0.000287935,1.315701146,0.001818156,0.297813659,0.001843871,7.65606E-05,1.445421436,0.375705265,6.975476148
2293,1.9673505,7.983332967,2.165E-13,149.739925,14.29406005,0.164261965,0.315259643,5.5381E-06,0.069200945,3.09534E-07,2.33038E-07,-1.06897861,0.545746121,3.98248818
2294,1.399464026,1.237479635,4.55942E-12,34.91051135,15.29327095,0.00020051,1.008630976,0.000116657,0.049231287,2.99182E-05,4.90827E-06,0.258897017,0.207589966,2.97836777
2295,10.9817096,0.329265197,3.96561E-09,46.83154213,605.0385952,6.45705E-07,1.519057783,0.100639514,0.384748876,0.764302359,0.004251645,3.175855888,0.906088895,7.665051322
2296,0.060404747,6.017361115,3.59246E-16,31.52531504,0.122587144,0.482319702,4.44307E-05,9.19504E-09,0.002125348,2.09286E-11,3.86803E-10,-3.844045091,0.394835295,1.251450437
2297,3.122039883,64.21681392,8.42639E-15,132.6947903,2.498987356,47.74084512,0.004977103,2.15373E-07,0.109771997,2.37579E-09,9.06638E-09,-2.481575563,0.507906762,6.859455622
2298,4.932367813,18.25347218,2.60305E-13,132.6445798,13.88417149,0.693743507,0.350288852,6.65177E-06,0.173404944,4.0787E-07,2.80045E-07,-0.98882162,0.330732807,6.295465657
