,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
24,5.1254205521758755e+20,3.1207278097906296e+20,1.194e+21,4.955e+18,1.04e+20,4.272005862838637e-09
25,4.939483795559684e+20,1.1290497801381775e+20,1.194e+21,4.955e+18,1.04e+20,3.8019306484004463e-14
26,4.2658716035134646e+20,3.874240868008478e+20,1.194e+21,4.955e+18,1.04e+20,1.0458941726419084e-14
27,6.531245321616362e+20,1.4830326183864114e+20,1.194e+21,4.955e+18,1.04e+20,4.915478288025085e-12
28,1.3396427061839074e+21,9.775430545665339e+20,1.194e+21,4.955e+18,1.04e+20,7.014934940644495e-15
29,2.6581483476954916e+20,1.609532634552567e+20,1.194e+21,4.955e+18,1.04e+20,7.872747395543907e-15
30,1.4516780652841185e+21,6.180722325189579e+20,1.194e+21,4.955e+18,1.04e+20,6.6803888441542625e-09
31,1.483733703642644e+21,1.0839931294270207e+21,1.194e+21,4.955e+18,1.04e+20,4.8329388327558306e-11
32,1.8215328348472338e+20,4.860382624169878e+19,1.194e+21,4.955e+18,1.04e+20,3.871936377517379e-13
33,3.282400224621442e+20,2.497485183744302e+20,1.194e+21,4.955e+18,1.04e+20,3.981003462187348e-15
34,8.384468099911807e+20,4.0694933543127666e+20,1.194e+21,4.955e+18,1.04e+20,6.123099847586926e-15
35,5.984760045047716e+20,6.444106895158705e+19,1.194e+21,4.955e+18,1.04e+20,5.568266697832715e-15
36,7.179003132436481e+20,5.6975576539677806e+20,1.194e+21,4.955e+18,1.04e+20,2.7606721581828875e-16
37,1.3741653893919146e+21,4.2999655842044445e+20,1.194e+21,4.955e+18,1.04e+20,1.6319288307742346e-13
38,8.395417541756377e+20,7.018015668441742e+20,1.194e+21,4.955e+18,1.04e+20,4.945902626814711e-14
39,8.066820177047118e+20,8.451066770722942e+19,1.194e+21,4.955e+18,1.04e+20,2.2971150253056916e-11
40,8.985209103407233e+20,8.25079234622694e+20,1.194e+21,4.955e+18,1.04e+20,1.4782243786747293e-11
41,4.4431563421009235e+20,3.884641778099664e+20,1.194e+21,4.955e+18,1.04e+20,7.99312212087196e-09
42,1.0146052034078301e+21,3.2118236854369006e+20,1.194e+21,4.955e+18,1.04e+20,7.79298673179188e-11
43,4.1610946524315235e+20,3.5207939056922205e+20,1.194e+21,4.955e+18,1.04e+20,7.116025982163295e-13
44,1.242100068950593e+21,1.1469788587259024e+21,1.194e+21,4.955e+18,1.04e+20,1.2539121179215653e-14
45,3.3627845770266916e+20,8.49934889237574e+19,1.194e+21,4.955e+18,1.04e+20,1.5639200267958913e-09
46,4.2241236584488285e+20,1.2324480756870516e+20,1.194e+21,4.955e+18,1.04e+20,2.580340854751905e-13
47,2.225059974099649e+20,8.202219737328789e+19,1.194e+21,4.955e+18,1.04e+20,9.15089602054146e-11
48,7.544539364487206e+20,2.5751678579921758e+20,1.194e+21,4.955e+18,1.04e+20,3.8665699841800167e-14
49,3.1082012990088217e+20,1.2609147225066771e+20,1.194e+21,4.955e+18,1.04e+20,1.2560656599284937e-11
50,3.7990321258074807e+20,3.4155216945117535e+20,1.194e+21,4.955e+18,1.04e+20,1.0255123773240583e-10
51,1.8292707764309138e+20,1.3392468740587071e+20,1.194e+21,4.955e+18,1.04e+20,3.394342192898739e-11
52,1.204955662857374e+21,6.615041186768874e+20,1.194e+21,4.955e+18,1.04e+20,7.506701336841225e-14
53,1.0749409561748337e+21,3.492394420872664e+20,1.194e+21,4.955e+18,1.04e+20,1.6919051533737788e-13
54,1.7944866087609346e+20,4.669971590209115e+19,1.194e+21,4.955e+18,1.04e+20,2.1259040309633046e-13
55,1.9329457100170294e+20,1.925131782230754e+20,1.194e+21,4.955e+18,1.04e+20,7.366536916327191e-15
56,3.6565320467056034e+20,3.5106553749271976e+20,1.194e+21,4.955e+18,1.04e+20,1.8137821117163404e-14
57,1.4346969393987345e+21,1.2213741851835446e+21,1.194e+21,4.955e+18,1.04e+20,7.002637930221702e-11
58,1.4571696063393057e+21,8.885578065489486e+20,1.194e+21,4.955e+18,1.04e+20,1.4348482542860027e-12
59,8.490724879552453e+20,4.784371920906581e+20,1.194e+21,4.955e+18,1.04e+20,3.488378865225799e-11
60,9.439922217111013e+20,3.393818151994238e+20,1.194e+21,4.955e+18,1.04e+20,7.562954862266194e-09
61,5.051214693819295e+20,2.8805903480154325e+20,1.194e+21,4.955e+18,1.04e+20,6.955708956067536e-14
62,1.5148336221993522e+21,1.2125535362034916e+21,1.194e+21,4.955e+18,1.04e+20,8.944344703579964e-09
63,1.3537356685152727e+21,1.2910692338063025e+21,1.194e+21,4.955e+18,1.04e+20,1.9661723136802823e-14
64,1.1331554462415715e+21,3.5483735499803355e+20,1.194e+21,4.955e+18,1.04e+20,1.5457080201503487e-12
65,1.1836121227693038e+21,1.8029948598411418e+20,1.194e+21,4.955e+18,1.04e+20,5.05494066114373e-16
