,H_mass,C_mass,S_mass,N_mass,Cl_mass,O2_fugacity
41,5.7694976402533456e+20,1.0134158101805243e+20,1.194e+21,4.955e+18,1.04e+20,8.005155304014714e-13
42,1.096861009234358e+21,7.608335189511092e+20,1.194e+21,4.955e+18,1.04e+20,2.880384283521023e-13
43,1.0430279282569584e+21,3.316369271519705e+20,1.194e+21,4.955e+18,1.04e+20,4.898165264741251e-09
44,9.932058609363776e+20,1.2764913841641821e+20,1.194e+21,4.955e+18,1.04e+20,8.018232513798117e-12
45,1.362419945198689e+21,4.1700336752071587e+20,1.194e+21,4.955e+18,1.04e+20,3.430439760965266e-12
46,5.723933741334761e+20,5.520153930893665e+20,1.194e+21,4.955e+18,1.04e+20,1.036807329254878e-11
47,7.405162403764509e+20,2.0137558055248082e+20,1.194e+21,4.955e+18,1.04e+20,1.488686140218036e-10
48,9.434225578866985e+20,2.374357949610539e+20,1.194e+21,4.955e+18,1.04e+20,3.087715798293909e-12
49,4.2553347492525566e+20,1.955646631698613e+20,1.194e+21,4.955e+18,1.04e+20,1.3807540798083703e-11
50,1.269347007540413e+21,3.172487954636761e+20,1.194e+21,4.955e+18,1.04e+20,9.970665734235345e-14
51,1.1628584859162065e+21,2.964615239217118e+20,1.194e+21,4.955e+18,1.04e+20,3.815968916114663e-15
52,1.3699259906665994e+21,5.4116719760245994e+20,1.194e+21,4.955e+18,1.04e+20,1.1043569430890733e-14
53,6.65320151603425e+20,5.3499219216577403e+20,1.194e+21,4.955e+18,1.04e+20,2.212979436278926e-09
54,1.0633380353307621e+21,2.302233876453047e+20,1.194e+21,4.955e+18,1.04e+20,9.390998515098146e-15
55,9.85455268547642e+20,2.936966588476124e+20,1.194e+21,4.955e+18,1.04e+20,1.454301338016764e-08
56,6.346995581623143e+20,1.898427770634772e+20,1.194e+21,4.955e+18,1.04e+20,1.0362111015953311e-11
57,5.515656673816071e+20,5.051250810887491e+20,1.194e+21,4.955e+18,1.04e+20,3.054336187421496e-10
58,1.4544862446938064e+21,6.269078468745328e+20,1.194e+21,4.955e+18,1.04e+20,1.7253023478028634e-10
59,4.9753863618766733e+20,1.681061120623748e+20,1.194e+21,4.955e+18,1.04e+20,1.213519817330657e-12
60,1.50646922137676e+21,1.1862197017515556e+21,1.194e+21,4.955e+18,1.04e+20,4.197255560438051e-11
61,5.021223979659754e+20,1.8352487288645445e+20,1.194e+21,4.955e+18,1.04e+20,1.3596402628483987e-11
62,8.944539743216725e+20,3.454282344635836e+20,1.194e+21,4.955e+18,1.04e+20,2.4928180216656377e-15
63,5.7694976402533456e+20,1.0134158101805243e+20,1.194e+21,4.955e+18,1.04e+20,8.005155304014714e-13
64,1.096861009234358e+21,7.608335189511092e+20,1.194e+21,4.955e+18,1.04e+20,2.880384283521023e-13
65,1.0430279282569584e+21,3.316369271519705e+20,1.194e+21,4.955e+18,1.04e+20,4.898165264741251e-09
66,9.932058609363776e+20,1.2764913841641821e+20,1.194e+21,4.955e+18,1.04e+20,8.018232513798117e-12
67,3.4363027681636175e+20,1.4234568179591607e+20,1.194e+21,4.955e+18,1.04e+20,5.788015597671415e-16
68,1.2645120679150229e+21,1.0571532232958693e+21,1.194e+21,4.955e+18,1.04e+20,3.392562604895143e-15
69,1.1663804459853264e+21,1.84260001754953e+20,1.194e+21,4.955e+18,1.04e+20,5.2662001501535255e-09
70,6.622040041382576e+20,5.215213731605409e+20,1.194e+21,4.955e+18,1.04e+20,4.853470321866332e-12
71,1.2337834672459856e+21,1.211756384811927e+21,1.194e+21,4.955e+18,1.04e+20,1.8350888500937336e-09
72,2.7738795361205364e+20,2.0248931215887453e+20,1.194e+21,4.955e+18,1.04e+20,1.8586788380721453e-13
73,2.411144828638564e+20,7.200633125236253e+19,1.194e+21,4.955e+18,1.04e+20,8.141559004087158e-12
74,1.362419945198689e+21,4.1700336752071587e+20,1.194e+21,4.955e+18,1.04e+20,3.430439760965266e-12
75,5.723933741334761e+20,5.520153930893665e+20,1.194e+21,4.955e+18,1.04e+20,1.036807329254878e-11
76,7.405162403764509e+20,2.0137558055248082e+20,1.194e+21,4.955e+18,1.04e+20,1.488686140218036e-10
77,9.434225578866985e+20,2.374357949610539e+20,1.194e+21,4.955e+18,1.04e+20,3.087715798293909e-12
78,4.2553347492525566e+20,1.955646631698613e+20,1.194e+21,4.955e+18,1.04e+20,1.3807540798083703e-11
79,1.269347007540413e+21,3.172487954636761e+20,1.194e+21,4.955e+18,1.04e+20,9.970665734235345e-14
80,1.1628584859162065e+21,2.964615239217118e+20,1.194e+21,4.955e+18,1.04e+20,3.815968916114663e-15
81,1.3699259906665994e+21,5.4116719760245994e+20,1.194e+21,4.955e+18,1.04e+20,1.1043569430890733e-14
82,6.65320151603425e+20,5.3499219216577403e+20,1.194e+21,4.955e+18,1.04e+20,2.212979436278926e-09
83,1.0633380353307621e+21,2.302233876453047e+20,1.194e+21,4.955e+18,1.04e+20,9.390998515098146e-15
84,9.85455268547642e+20,2.936966588476124e+20,1.194e+21,4.955e+18,1.04e+20,1.454301338016764e-08
85,6.346995581623143e+20,1.898427770634772e+20,1.194e+21,4.955e+18,1.04e+20,1.0362111015953311e-11
86,5.515656673816071e+20,5.051250810887491e+20,1.194e+21,4.955e+18,1.04e+20,3.054336187421496e-10
